AFR	0.026391	0	22
NAT	0.063020	0	22
AFR	0.368715	0	22
NAT	0.266755	0	22
EUR	0.140279	1	22
AFR	0.128365	1	22
EUR	0.112132	1	22
AFR	0.344106	1	22
EUR	0.164197	2	22
NAT	0.099064	2	22
AFR	0.461621	2	22
EUR	0.208535	3	22
AFR	0.361077	3	22
EUR	0.010101	3	22
AFR	0.032765	3	22
NAT	0.112404	3	22
AFR	0.190675	4	22
EUR	0.054942	4	22
AFR	0.479265	4	22
NAT	0.123808	5	22
AFR	0.127555	5	22
EUR	0.033158	5	22
AFR	0.082899	5	22
NAT	0.240604	5	22
AFR	0.003827	5	22
EUR	0.113031	5	22
NAT	0.001848	6	22
EUR	0.106394	6	22
AFR	0.036029	6	22
NAT	0.046022	6	22
EUR	0.025530	6	22
AFR	0.036443	6	22
NAT	0.013086	6	22
EUR	0.026536	6	22
NAT	0.335991	6	22
EUR	0.097003	6	22
AFR	0.215782	7	22
NAT	0.244805	7	22
AFR	0.264295	7	22
AFR	0.235843	8	22
EUR	0.090458	8	22
NAT	0.056089	8	22
AFR	0.080019	8	22
NAT	0.175242	8	22
AFR	0.087231	8	22
AFR	0.078271	9	22
NAT	0.010442	9	22
AFR	0.060722	9	22
NAT	0.043060	9	22
AFR	0.532388	9	22
AFR	0.007439	10	22
NAT	0.087376	10	22
AFR	0.166940	10	22
NAT	0.000908	10	22
AFR	0.252898	10	22
NAT	0.104280	10	22
AFR	0.105040	10	22
AFR	0.410108	11	22
NAT	0.314774	11	22
AFR	0.547153	12	22
NAT	0.140232	12	22
EUR	0.037497	12	22
NAT	0.056957	13	22
AFR	0.246813	13	22
NAT	0.008009	13	22
AFR	0.029901	13	22
EUR	0.039306	13	22
AFR	0.343897	13	22
NAT	0.392016	14	22
AFR	0.023257	14	22
NAT	0.023032	14	22
AFR	0.286578	14	22
AFR	0.148398	15	22
EUR	0.075417	15	22
NAT	0.072011	15	22
EUR	0.042084	15	22
NAT	0.084098	15	22
EUR	0.087394	15	22
AFR	0.215479	15	22
EUR	0.406805	16	22
AFR	0.318077	16	22
AFR	0.074897	17	22
EUR	0.041350	17	22
AFR	0.112036	17	22
EUR	0.108786	17	22
NAT	0.068950	17	22
EUR	0.157005	17	22
NAT	0.008116	17	22
EUR	0.153742	17	22
AFR	0.251984	18	22
EUR	0.168432	18	22
NAT	0.277536	18	22
AFR	0.026930	18	22
NAT	0.200939	19	22
EUR	0.022291	19	22
NAT	0.058343	19	22
AFR	0.443309	19	22
NAT	0.045176	20	22
AFR	0.679706	20	22
AFR	0.205377	21	22
NAT	0.049780	21	22
AFR	0.119124	21	22
NAT	0.016499	21	22
AFR	0.040183	21	22
NAT	0.059838	21	22
AFR	0.234081	21	22
AFR	0.724882	22	22
AFR	0.297578	23	22
EUR	0.115184	23	22
AFR	0.085224	23	22
NAT	0.022214	23	22
AFR	0.047822	23	22
NAT	0.156861	23	22
NAT	0.034901	24	22
AFR	0.140673	24	22
NAT	0.103965	24	22
AFR	0.014468	24	22
NAT	0.069510	24	22
AFR	0.068786	24	22
NAT	0.047135	24	22
AFR	0.152733	24	22
EUR	0.092711	24	22
NAT	0.031617	25	22
AFR	0.165569	25	22
EUR	0.088424	25	22
NAT	0.031862	25	22
AFR	0.021729	25	22
NAT	0.131383	25	22
EUR	0.076939	25	22
NAT	0.137256	25	22
EUR	0.040103	25	22
AFR	0.038258	26	22
EUR	0.065272	26	22
AFR	0.131399	26	22
NAT	0.074055	26	22
EUR	0.185842	26	22
AFR	0.039342	26	22
EUR	0.190714	26	22
AFR	0.166828	27	22
EUR	0.128662	27	22
AFR	0.039097	27	22
EUR	0.089058	27	22
NAT	0.071457	27	22
AFR	0.229779	27	22
AFR	0.164557	28	22
NAT	0.042195	28	22
AFR	0.190796	28	22
EUR	0.074120	28	22
AFR	0.044899	28	22
EUR	0.009320	28	22
AFR	0.067530	28	22
EUR	0.051757	28	22
AFR	0.032783	28	22
NAT	0.046925	28	22
AFR	0.187360	29	22
NAT	0.041151	29	22
AFR	0.137028	29	22
EUR	0.239154	29	22
AFR	0.120189	29	22
EUR	0.080472	30	22
NAT	0.089382	30	22
AFR	0.193623	30	22
EUR	0.029797	30	22
AFR	0.143045	30	22
EUR	0.059215	30	22
NAT	0.003989	30	22
EUR	0.125359	30	22
EUR	0.062459	31	22
AFR	0.347204	31	22
EUR	0.017777	31	22
AFR	0.107909	31	22
EUR	0.189533	31	22
AFR	0.577330	32	22
EUR	0.147552	32	22
AFR	0.724882	33	22
AFR	0.327977	34	22
EUR	0.396905	34	22
AFR	0.172997	35	22
NAT	0.044343	35	22
EUR	0.047368	35	22
AFR	0.460174	35	22
NAT	0.724882	36	22
AFR	0.130881	37	22
NAT	0.067840	37	22
AFR	0.034185	37	22
EUR	0.023824	37	22
AFR	0.033517	37	22
EUR	0.051363	37	22
NAT	0.190479	37	22
EUR	0.192794	37	22
AFR	0.076747	38	22
EUR	0.129650	38	22
AFR	0.119717	38	22
NAT	0.268705	38	22
EUR	0.130063	38	22
NAT	0.724882	39	22
AFR	0.300892	40	22
EUR	0.047419	40	22
NAT	0.038067	40	22
EUR	0.066146	40	22
AFR	0.023405	40	22
EUR	0.101089	40	22
AFR	0.147864	40	22
NAT	0.052558	41	22
AFR	0.006693	41	22
NAT	0.029434	41	22
EUR	0.048289	41	22
AFR	0.139914	41	22
EUR	0.078726	41	22
NAT	0.045114	41	22
AFR	0.222536	41	22
NAT	0.101617	41	22
NAT	0.724882	42	22
EUR	0.094596	43	22
AFR	0.022364	43	22
EUR	0.101108	43	22
AFR	0.146721	43	22
NAT	0.044841	43	22
EUR	0.060894	43	22
AFR	0.254357	43	22
AFR	0.724882	44	22
NAT	0.009658	45	22
EUR	0.085018	45	22
AFR	0.630206	45	22
AFR	0.075457	46	22
NAT	0.123678	46	22
EUR	0.103691	46	22
NAT	0.422055	46	22
AFR	0.007146	47	22
EUR	0.027703	47	22
NAT	0.034478	47	22
AFR	0.218310	47	22
NAT	0.086371	47	22
AFR	0.350873	47	22
EUR	0.275114	48	22
AFR	0.321142	48	22
NAT	0.128626	48	22
AFR	0.724882	49	22
NAT	0.194555	50	22
AFR	0.530327	50	22
NAT	0.005745	51	22
AFR	0.388231	51	22
EUR	0.330907	51	22
AFR	0.588264	52	22
NAT	0.013414	52	22
AFR	0.123203	52	22
EUR	0.114965	53	22
AFR	0.609917	53	22
AFR	0.230603	54	22
EUR	0.012777	54	22
NAT	0.042928	54	22
AFR	0.254127	54	22
EUR	0.184448	54	22
AFR	0.501999	55	22
EUR	0.001961	55	22
AFR	0.046860	55	22
EUR	0.023061	55	22
AFR	0.031351	55	22
NAT	0.078854	55	22
EUR	0.040796	55	22
EUR	0.009481	56	22
